Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling, GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating
P. Dybala,Paulo Dybala,86,86,69500000,"CF,CAM",CAM,Argentina,https://cdn.sofifa.net/players/211/110/23_60.png,28,177,75,2108,439,Roma,130000,118200000,RF,2025,21,2022,-,Left,3,4,3,Argentina,https://cdn.sofifa.net/flags/ar.png,SUB,21,High,Low,80,85,85,90,40,59,82,83,58,86,88,90,89,88,79,93,84,76,88,79,90,84,74,68,60,89,43,42,82,91,84,79,32,41,39,5,4,4,5,8,84,86,85,85,85,86,86,86,84,86,68,66,68,64,54,64,17
Thiago Silva,Thiago Emiliano da Silva,86,86,12000000,CB,CB,Brazil,https://cdn.sofifa.net/players/164/240/23_60.png,37,183,79,2012,411,Chelsea,115000,22200000,CB,2023,6,2020,-,Right,3,2,4,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,High,49,54,73,72,87,76,60,40,82,81,61,67,62,61,82,79,45,52,62,83,66,71,88,66,80,65,76,89,59,71,60,86,89,86,84,9,12,5,9,10,68,65,66,66,66,65,72,70,79,70,78,85,78,80,86,80,21
W. Szczęsny,Wojciech Szczęsny,86,86,33500000,GK,GK,Poland,https://cdn.sofifa.net/players/186/153/23_60.png,32,195,90,1314,462,Juventus,125000,57000000,RES,2024,1,2017,-,Right,3,1,3,Poland,https://cdn.sofifa.net/flags/pl.png,GK,1,Medium,Medium,86,81,73,87,49,86,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,86,81,73,86,87,34,28,31,31,31,28,35,34,36,34,31,34,31,31,32,31,86
K. Trapp,Kevin Trapp,86,86,36000000,GK,GK,Germany,https://cdn.sofifa.net/players/188/943/23_60.png,31,189,84,1252,463,Eintracht Frankfurt,43000,61200000,GK,2024,1,2019,-,Right,4,1,3,Germany,https://cdn.sofifa.net/flags/de.png,SUB,22,Medium,Medium,84,82,79,87,46,85,13,13,11,25,12,10,14,12,12,24,43,50,42,83,37,59,76,45,75,13,30,22,12,46,17,64,15,14,10,84,82,79,85,87,33,27,30,30,30,27,32,31,31,31,31,32,31,31,32,31,86
Bruno Fernandes,Bruno Miguel Borges Fernandes,86,86,72500000,"CAM,CM",CAM,Portugal,https://cdn.sofifa.net/players/212/198/23_60.png,27,179,69,2305,470,Manchester United,190000,137800000,CAM,2026,8,2020,-,Right,3,4,3,Portugal,https://cdn.sofifa.net/flags/pt.png,CM,11,High,High,72,86,88,81,67,76,85,83,64,88,87,79,87,85,88,84,75,69,78,91,79,88,71,92,66,88,80,64,86,91,90,79,66,73,65,12,14,15,8,14,84,83,84,84,84,83,86,86,86,86,81,82,81,79,74,79,24
Parejo,Daniel Parejo Muñoz,86,86,42000000,CM,CM,Spain,https://cdn.sofifa.net/players/189/513/23_60.png,33,182,74,2162,442,Villarreal CF,64000,88200000,CM,2024,10,2020,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,50,83,90,80,71,68,86,83,61,92,72,81,88,90,90,86,52,49,63,79,72,81,49,76,70,88,58,80,81,90,88,85,70,70,69,5,9,12,14,8,79,80,80,80,80,80,85,82,86,82,78,81,78,76,73,76,19
A. Laporte,Aymeric Laporte,86,87,64500000,CB,CB,Spain,https://cdn.sofifa.net/players/212/218/23_60.png,28,191,85,1962,417,Manchester City,195000,124200000,CB,2025,14,2018,-,Left,3,2,3,Spain,https://cdn.sofifa.net/flags/es.png,CB,15,Medium,Medium,61,50,72,69,86,79,58,45,84,83,40,63,61,69,81,78,55,65,57,87,55,68,80,67,84,47,81,87,54,65,44,84,86,87,86,10,11,5,14,5,69,64,66,66,66,64,71,70,77,70,80,85,80,81,87,81,21
K. Coman,Kingsley Coman,86,87,80000000,LM,LM,France,https://cdn.sofifa.net/players/213/345/23_60.png,26,179,75,1979,426,FC Bayern München,105000,138000000,RM,2027,11,2015,-,Right,3,5,4,France,https://cdn.sofifa.net/flags/fr.png,RM,11,Medium,Medium,92,77,79,87,30,61,81,76,61,80,78,88,83,70,74,87,94,90,92,86,84,83,73,69,66,73,35,23,84,81,70,78,29,27,21,5,3,5,3,5,83,84,84,84,84,84,86,87,78,87,63,58,63,59,48,59,16
M. Brozović,Marcelo Brozović,86,86,58000000,"CDM,CM",CDM,Croatia,https://cdn.sofifa.net/players/216/352/23_60.png,29,181,68,2227,464,Inter,110000,95700000,CDM,2026,77,2016,-,Right,4,3,3,Croatia,https://cdn.sofifa.net/flags/hr.png,CDM,11,Medium,Medium,69,74,81,81,81,78,73,69,70,85,65,79,79,74,84,84,70,68,79,83,84,80,70,94,68,84,86,84,67,83,69,82,80,84,82,8,8,15,11,8,77,77,77,77,77,77,83,81,86,81,84,86,84,84,83,84,20
N. Barella,Nicolò Barella,86,89,89500000,CM,CM,Italy,https://cdn.sofifa.net/players/224/232/23_60.png,25,172,68,2296,480,Inter,110000,154400000,CM,2026,23,2020,-,Right,3,3,3,Italy,https://cdn.sofifa.net/flags/it.png,CM,18,High,High,79,76,83,84,77,81,79,73,53,86,80,80,79,67,85,87,80,78,90,88,90,77,78,94,73,79,84,83,81,86,73,86,79,79,81,11,5,13,14,11,80,82,81,81,81,82,86,86,88,86,86,87,86,85,81,85,22
L. Martínez,Lautaro Martínez,86,90,98500000,ST,ST,Argentina,https://cdn.sofifa.net/players/231/478/23_60.png,24,174,72,2163,455,Inter,110000,169900000,ST,2026,10,2018,-,Right,4,4,3,Argentina,https://cdn.sofifa.net/flags/ar.png,ST,22,High,Medium,83,83,72,85,48,84,58,88,84,76,90,84,78,54,73,86,86,80,86,89,89,80,89,80,84,76,90,45,86,80,74,86,55,31,44,11,8,8,8,13,88,82,84,84,84,82,85,83,79,83,68,69,68,66,65,66,22
M. Škriniar,Milan Škriniar,86,87,68500000,CB,CB,Slovakia,https://cdn.sofifa.net/players/232/363/23_60.png,27,188,80,1861,419,Inter,105000,118200000,CB,2023,37,2017,-,Right,3,2,3,-,-,-,-,Low,High,78,41,57,69,88,86,40,42,81,72,40,67,34,30,73,72,75,81,54,86,56,50,85,81,89,30,87,86,30,46,56,87,91,90,82,10,13,12,8,12,63,59,60,60,60,59,64,66,70,66,79,83,79,82,87,82,22
C. Nkunku,Christopher Nkunku,86,89,94000000,"CF,CAM,ST",CAM,France,https://cdn.sofifa.net/players/232/411/23_60.png,24,175,73,2196,471,RB Leipzig,90000,166900000,CAM,2024,18,2019,-,Right,3,5,3,France,https://cdn.sofifa.net/flags/fr.png,SUB,12,High,Medium,88,81,83,88,65,66,81,86,61,85,70,89,82,80,80,88,87,89,88,85,90,79,59,78,64,78,59,67,86,85,67,81,62,69,59,5,6,10,15,7,85,86,85,85,85,86,89,89,86,89,80,77,80,77,70,77,20
É. Mendy,Édouard Mendy,86,87,51000000,GK,GK,Senegal,https://cdn.sofifa.net/players/234/642/23_60.png,30,197,86,1225,454,Chelsea,130000,98200000,GK,2025,16,2020,-,Right,2,1,2,-,-,-,-,Medium,Medium,84,82,81,88,34,85,10,5,10,47,9,18,13,14,54,31,33,36,50,84,33,61,39,37,72,9,22,13,6,52,13,58,10,11,13,84,82,81,85,88,31,29,32,32,32,29,37,34,40,34,30,36,30,28,28,28,86
Vinícius Jr.,Vinícius José de Oliveira Júnior,86,92,109000000,LW,LW,Brazil,https://cdn.sofifa.net/players/238/794/23_60.png,21,176,73,1985,434,Real Madrid CF,200000,245300000,LW,2025,20,2018,-,Right,4,5,2,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,95,79,74,90,29,67,72,84,50,75,72,92,77,62,73,89,95,95,94,82,83,76,75,84,62,76,58,26,82,75,65,79,32,25,18,5,7,7,7,10,81,85,84,84,84,85,85,86,77,86,63,58,63,58,47,58,17
S. Milinković-Savić,Sergej Milinković-Savić,86,87,77500000,CM,CM,Serbia,https://cdn.sofifa.net/players/223/848/23_60.png,27,191,76,2250,477,Lazio,90000,137600000,CM,2024,21,2015,-,Right,5,4,3,-,-,-,-,High,Medium,68,80,82,82,79,86,71,82,86,86,74,85,81,78,86,87,66,70,62,84,63,83,87,91,87,81,79,79,82,83,59,84,78,79,74,7,10,7,16,7,85,80,82,82,82,80,86,84,87,84,83,86,83,82,84,82,21
N. Süle,Niklas Süle,85,87,59000000,"CB,RB",CB,Germany,https://cdn.sofifa.net/players/212/190/23_60.png,26,195,99,1839,412,Borussia Dortmund,72000,104700000,SUB,2026,25,2022,-,Right,3,3,3,Germany,https://cdn.sofifa.net/flags/de.png,CB,15,Medium,Medium,71,48,66,59,85,83,48,30,84,79,46,57,33,38,77,64,60,80,34,82,44,78,60,65,94,62,86,81,42,66,32,82,83,89,87,15,7,14,7,15,65,58,61,61,61,58,66,65,73,65,77,82,77,79,87,79,22
N. Fekir,Nabil Fekir,85,85,54500000,CAM,CAM,France,https://cdn.sofifa.net/players/216/594/23_60.png,28,173,75,2126,452,Real Betis Balompié,48000,114500000,CAM,2026,8,2019,-,Left,4,4,3,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,83,82,82,87,38,80,81,83,49,83,77,89,83,79,77,86,88,79,85,81,91,84,64,80,81,83,79,34,82,87,74,89,34,42,30,15,9,8,14,15,83,84,84,84,84,84,85,85,82,85,67,66,67,63,56,63,23
S. Gnabry,Serge Gnabry,85,85,59000000,RM,RM,Germany,https://cdn.sofifa.net/players/206/113/23_60.png,26,176,77,2058,442,FC Bayern München,100000,97400000,SUB,2026,7,2017,-,Right,4,4,4,Germany,https://cdn.sofifa.net/flags/de.png,SUB,10,High,Medium,82,84,79,85,43,69,78,86,42,82,83,87,74,62,75,82,85,79,85,82,88,87,55,76,69,82,63,38,86,82,68,82,45,44,43,14,10,10,9,7,82,83,83,83,83,83,85,85,80,85,69,66,69,65,56,65,21
İ. Gündoğan,İlkay Gündoğan,85,85,44000000,"CM,CDM",CM,Germany,https://cdn.sofifa.net/players/186/942/23_60.png,31,180,80,2195,458,Manchester City,185000,81400000,CM,2023,8,2016,-,Right,4,4,3,Germany,https://cdn.sofifa.net/flags/de.png,CDM,21,High,Medium,64,80,85,85,72,72,78,81,50,88,75,85,86,80,85,90,66,63,77,86,77,79,61,74,73,81,70,75,83,86,80,87,76,75,67,11,14,5,5,13,81,82,82,82,82,82,85,85,85,85,80,83,80,78,75,78,22
K. Walker,Kyle Walker,85,85,37500000,RB,RB,England,https://cdn.sofifa.net/players/188/377/23_60.png,32,183,83,2196,471,Manchester City,170000,69400000,RB,2024,2,2017,-,Right,2,3,3,England,https://cdn.sofifa.net/flags/gb-eng.png,RB,2,High,High,91,63,77,78,80,82,77,51,74,80,57,79,76,71,81,81,87,94,66,85,69,86,83,86,80,69,84,80,68,69,63,75,76,84,83,12,6,16,15,8,77,76,76,76,76,76,78,81,81,81,85,84,85,85,84,85,22
P. Aubameyang,Pierre-Emerick Aubameyang,85,85,34500000,ST,ST,Gabon,https://cdn.sofifa.net/players/188/567/23_60.png,33,187,80,2028,428,Chelsea,180000,63800000,SUB,2024,9,2022,-,Right,4,4,3,-,-,-,-,High,Low,87,84,74,79,36,68,72,87,76,78,82,78,80,76,64,81,85,89,77,84,67,82,75,74,74,79,43,48,88,74,82,83,20,29,36,6,9,15,9,9,85,81,82,82,82,81,83,83,76,83,65,61,65,62,54,62,20
Jordi Alba,Jordi Alba Ramos,85,85,28000000,LB,LB,Spain,https://cdn.sofifa.net/players/189/332/23_60.png,33,170,68,2218,465,FC Barcelona,190000,57400000,LB,2024,18,2012,-,Left,3,3,3,Spain,https://cdn.sofifa.net/flags/es.png,LB,18,High,Medium,84,70,82,82,77,70,86,73,70,86,75,79,82,63,81,84,86,83,87,79,84,64,80,83,61,66,75,80,83,78,59,80,74,78,79,13,15,13,6,13,79,81,79,79,79,81,84,85,84,85,85,83,85,84,79,84,22
Sergio Busquets,Sergio Busquets Burgos,85,85,26500000,CDM,CDM,Spain,https://cdn.sofifa.net/players/189/511/23_60.png,33,189,76,2002,417,FC Barcelona,190000,54300000,CDM,2023,5,2008,-,Right,3,3,4,Spain,https://cdn.sofifa.net/flags/es.png,CDM,5,Medium,Medium,42,62,79,79,82,73,62,67,68,87,50,80,66,68,85,85,40,43,66,81,50,61,66,75,70,54,79,84,76,83,60,90,83,83,82,5,8,13,9,13,73,72,74,74,74,72,80,77,85,77,79,85,79,78,82,78,20
Iago Aspas,Iago Aspas Juncal,85,85,26000000,ST,ST,Spain,https://cdn.sofifa.net/players/192/629/23_60.png,34,176,67,2069,430,RC Celta de Vigo,50000,54600000,ST,2025,10,2015,-,Left,4,3,2,-,https://cdn.sofifa.net/flags/es.png,-,-,High,High,82,85,79,86,35,63,80,90,76,79,84,87,79,83,73,86,78,85,87,84,72,79,66,70,60,80,63,39,86,81,82,85,39,21,18,12,16,9,12,13,85,84,84,84,84,84,85,84,78,84,63,60,63,59,51,59,23
P. Pogba,Paul Pogba,85,85,52500000,"CM,CDM,LM",CM,France,https://cdn.sofifa.net/players/195/864/23_60.png,29,191,84,2170,459,Juventus,165000,89300000,SUB,2026,10,2022,-,Right,4,5,4,France,https://cdn.sofifa.net/flags/fr.png,CDM,6,Medium,Low,67,80,85,85,62,80,73,74,74,87,84,89,85,82,92,87,60,72,71,77,65,90,80,65,88,84,79,62,77,90,80,85,53,67,63,5,6,2,4,3,83,80,82,82,82,80,85,83,85,83,74,78,74,72,73,72,15
M. Depay,Memphis Depay,85,85,55000000,"CF,ST,LW",CF,Netherlands,https://cdn.sofifa.net/players/202/556/23_60.png,28,176,78,2089,444,FC Barcelona,230000,112800000,SUB,2023,14,2021,-,Right,3,5,4,Netherlands,https://cdn.sofifa.net/flags/nl.png,ST,10,High,Low,83,84,82,86,30,79,84,84,65,81,75,87,85,83,76,87,82,84,80,84,81,87,69,79,83,83,72,28,85,85,76,80,23,31,20,8,14,6,12,10,85,84,84,84,84,84,85,85,80,85,64,62,64,59,52,59,22
Jorginho,Luiz Frello Filho Jorge,85,85,51500000,CM,CM,Italy,https://cdn.sofifa.net/players/205/498/23_60.png,30,180,68,2128,434,Chelsea,165000,95300000,CM,2023,5,2018,-,Right,3,3,2,Italy,https://cdn.sofifa.net/flags/it.png,CM,8,Medium,Medium,54,67,86,81,73,73,75,64,56,92,71,79,75,76,89,87,63,47,75,82,72,71,58,87,66,62,79,81,69,88,89,84,67,81,71,14,7,13,14,8,72,75,75,75,75,75,82,80,85,80,80,84,80,77,75,77,21
M. Acuña,Marcos Acuña,85,85,46500000,LB,LB,Argentina,https://cdn.sofifa.net/players/224/334/23_60.png,30,172,69,2303,483,Sevilla FC,46000,97700000,LB,2024,19,2020,-,Left,3,3,2,Argentina,https://cdn.sofifa.net/flags/ar.png,LB,8,High,High,76,74,83,87,80,83,87,66,60,84,68,87,88,75,78,88,77,76,83,84,90,82,63,91,80,81,84,80,81,82,76,87,81,85,84,8,14,13,13,14,79,82,81,81,81,82,84,85,85,85,85,85,85,85,82,85,22
Gerard Moreno,Gerard Moreno Balagueró,85,85,53000000,ST,ST,Spain,https://cdn.sofifa.net/players/208/093/23_60.png,30,180,77,2109,442,Villarreal CF,64000,111300000,ST,2027,7,2018,-,Left,4,3,2,Spain,https://cdn.sofifa.net/flags/es.png,SUB,9,High,Medium,78,86,77,83,46,72,77,89,82,79,81,85,77,62,75,84,78,78,77,85,72,83,79,77,74,82,61,42,85,78,85,80,44,41,41,15,12,7,12,10,85,82,83,83,83,82,84,83,79,83,67,65,67,65,60,65,22
Y. Carrasco,Yannick Carrasco,85,85,54500000,LM,LM,Belgium,https://cdn.sofifa.net/players/208/418/23_60.png,28,181,73,2153,458,Atlético de Madrid,90000,111700000,LM,2024,21,2020,-,Right,4,4,3,Belgium,https://cdn.sofifa.net/flags/be.png,LM,11,High,High,89,82,80,87,53,67,81,81,53,80,74,90,87,80,74,86,89,89,87,81,71,85,71,79,61,82,65,47,82,80,81,84,44,64,60,9,11,9,10,10,82,84,83,83,83,84,85,85,82,85,75,71,75,72,64,72,21
F. Kostić,Filip Kostić,85,85,53000000,"LM,LWB",LM,Serbia,https://cdn.sofifa.net/players/208/574/23_60.png,29,184,84,2234,474,Juventus,165000,90100000,LW,2026,17,2022,-,Left,2,3,3,-,-,-,-,High,High,84,78,82,82,68,80,92,76,59,80,75,84,83,80,77,82,87,82,76,82,79,86,67,90,77,78,80,63,79,81,66,82,69,72,68,13,14,12,12,13,81,82,81,81,81,82,84,85,83,85,82,79,82,79,74,79,24
J. Vardy,Jamie Vardy,85,85,23000000,ST,ST,England,https://cdn.sofifa.net/players/208/830/23_60.png,35,179,74,2118,441,Leicester City,110000,43700000,ST,2024,9,2012,-,Right,4,3,3,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,84,84,70,79,52,72,69,90,78,74,85,76,69,61,60,83,85,84,74,88,75,87,80,73,65,65,86,49,90,74,85,86,45,52,54,15,14,7,15,11,85,80,82,82,82,80,82,82,76,82,70,68,70,69,66,69,25
Pedri,Pedro González López,85,93,116000000,CM,CM,Spain,https://cdn.sofifa.net/players/251/854/23_60.png,19,174,61,2109,455,FC Barcelona,115000,261000000,CM,2026,8,2020,-,Right,4,4,2,Spain,https://cdn.sofifa.net/flags/es.png,CM,10,High,High,79,67,81,87,68,73,68,68,50,87,56,87,79,62,85,88,82,76,88,85,90,66,65,88,70,67,62,72,77,88,53,87,68,73,63,12,7,11,8,8,76,81,80,80,80,81,85,84,86,84,79,80,79,77,72,77,19
P. Foden,Phil Foden,85,92,109500000,"LW,CF,CAM",CAM,England,https://cdn.sofifa.net/players/237/692/23_60.png,22,171,69,2083,445,Manchester City,180000,224500000,LW,2024,47,2016,-,Left,3,4,3,England,https://cdn.sofifa.net/flags/gb-eng.png,RW,20,High,High,82,78,81,88,56,60,76,79,47,85,59,87,73,68,81,91,86,78,91,83,91,82,49,83,47,77,64,59,82,85,64,84,58,59,47,8,15,6,10,13,80,84,83,83,83,84,88,87,85,87,75,74,75,72,62,72,22
M. de Ligt,Matthijs de Ligt,85,89,71000000,CB,CB,Netherlands,https://cdn.sofifa.net/players/235/243/23_60.png,22,189,89,1982,435,FC Bayern München,77000,122500000,CB,2027,4,2022,-,Right,3,2,3,Netherlands,https://cdn.sofifa.net/flags/nl.png,CB,3,Medium,High,75,59,61,69,84,87,52,50,85,75,45,65,48,55,67,73,69,79,60,84,62,82,93,75,93,66,83,81,44,45,40,82,84,86,85,12,11,11,12,10,71,64,65,65,65,64,67,68,71,68,79,81,79,81,87,81,22
P. Schick,Patrik Schick,85,87,67500000,ST,ST,Czech Republic,https://cdn.sofifa.net/players/234/236/23_60.png,26,191,86,1999,427,Bayer 04 Leverkusen,95000,119800000,ST,2027,14,2020,-,Left,3,4,3,Czech Republic,https://cdn.sofifa.net/flags/cz.png,SUB,6,High,Medium,78,83,71,83,36,76,64,87,86,78,80,83,78,56,64,85,74,82,83,82,67,82,75,69,83,80,65,25,86,74,67,84,44,24,19,11,15,8,9,14,87,80,82,82,82,80,83,81,75,81,60,60,60,57,55,57,23
T. Hernández,Theo Hernández,85,90,76000000,LB,LWB,France,https://cdn.sofifa.net/players/232/656/23_60.png,24,184,81,2195,483,AC Milan,82000,134900000,LB,2026,19,2019,-,Left,3,3,3,France,https://cdn.sofifa.net/flags/fr.png,SUB,22,High,Medium,93,72,76,81,78,83,84,69,74,79,66,83,69,64,68,79,92,94,78,85,76,83,68,90,81,72,82,78,80,73,50,80,74,81,80,12,10,7,7,7,82,81,80,80,80,81,82,84,81,84,86,82,86,85,82,85,20
Diogo Jota,Diogo José Teixeira da Silva,85,89,76000000,"CF,LW",ST,Portugal,https://cdn.sofifa.net/players/224/458/23_60.png,25,178,73,2183,462,Liverpool,170000,146300000,SUB,2025,20,2020,-,Right,5,4,2,Portugal,https://cdn.sofifa.net/flags/pt.png,LW,19,High,High,85,83,75,85,57,77,73,86,84,77,79,85,77,58,72,84,88,82,86,87,85,85,81,83,71,75,85,56,89,77,69,80,53,57,45,7,12,15,9,11,86,83,84,84,84,83,84,84,80,84,72,71,72,70,68,70,21
P. Gulácsi,Péter Gulácsi,85,85,26500000,GK,GK,Hungary,https://cdn.sofifa.net/players/185/122/23_60.png,32,191,86,1305,456,RB Leipzig,65000,45100000,GK,2025,1,2015,-,Right,2,1,3,Hungary,https://cdn.sofifa.net/flags/hu.png,GK,1,Medium,Medium,85,84,76,85,43,83,16,10,23,35,10,19,18,11,31,25,42,44,41,81,42,57,67,37,74,12,34,23,11,44,24,45,25,16,20,85,84,76,83,85,34,29,31,31,31,29,34,34,36,34,34,36,34,34,36,34,85
Y. Sommer,Yann Sommer,85,85,17500000,GK,GK,Switzerland,https://cdn.sofifa.net/players/177/683/23_60.png,33,183,79,1356,467,Borussia Mönchengladbach,40000,29800000,GK,2023,1,2014,-,Right,4,1,3,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,Medium,78,81,82,90,50,86,13,13,10,40,8,15,12,13,31,25,48,54,55,82,58,62,73,45,68,12,38,21,15,64,24,57,9,19,12,78,81,82,86,90,35,32,34,34,34,32,39,37,40,37,33,36,33,32,32,32,85
M. Reus,Marco Reus,85,85,33500000,"CAM,CF,RM",CAM,Germany,https://cdn.sofifa.net/players/188/350/23_60.png,33,180,71,2154,441,Borussia Dortmund,78000,57000000,CAM,2023,11,2012,-,Right,4,4,4,Germany,https://cdn.sofifa.net/flags/de.png,SUB,11,High,Medium,70,84,84,85,53,65,84,84,44,85,87,86,88,85,79,86,75,66,83,86,81,86,68,72,66,81,51,56,84,86,79,86,59,47,59,12,12,13,13,11,82,83,83,83,83,83,85,85,83,85,74,72,74,70,62,70,23
L. Hernández,Lucas Hernández,84,86,46000000,"CB,LB",CB,France,https://cdn.sofifa.net/players/220/814/23_60.png,26,184,79,2014,436,FC Bayern München,82000,79400000,SUB,2024,21,2019,-,Left,2,2,3,France,https://cdn.sofifa.net/flags/fr.png,CB,21,Medium,Medium,77,54,70,71,84,80,78,53,82,77,46,65,59,39,63,76,77,77,70,85,72,62,86,76,78,51,90,83,62,63,42,77,85,85,83,10,7,8,14,10,71,70,68,68,68,70,72,74,74,74,83,82,83,84,86,84,21
Sergio Ramos,Sergio Ramos García,84,84,7500000,CB,CB,Spain,https://cdn.sofifa.net/players/155/862/23_60.png,36,184,82,2137,433,Paris Saint-Germain,75000,13900000,CB,2023,4,2021,-,Right,3,3,4,Spain,https://cdn.sofifa.net/flags/es.png,SUB,4,High,Medium,61,69,73,70,83,77,63,65,88,78,69,63,72,75,80,78,66,56,66,85,65,79,91,56,81,64,90,84,69,71,90,86,82,82,83,11,8,9,7,11,76,69,71,71,71,69,75,73,78,73,77,83,77,79,84,79,21
A. Gómez,Alejandro Gómez,84,84,20000000,"CAM,LW",CAM,Argentina,https://cdn.sofifa.net/players/143/076/23_60.png,34,167,68,2035,425,Sevilla FC,47000,42000000,LW,2024,24,2021,-,Right,4,4,3,Argentina,https://cdn.sofifa.net/flags/ar.png,SUB,17,High,Medium,86,78,83,85,39,54,83,77,38,83,72,84,85,79,78,85,90,83,91,80,93,79,67,71,44,82,56,40,78,85,72,85,50,30,34,8,11,12,9,6,77,83,81,81,81,83,84,84,80,84,68,64,68,63,51,63,20
S. Handanovič,Samir Handanovič,84,84,4700000,GK,GK,Slovenia,https://cdn.sofifa.net/players/162/835/23_60.png,37,193,92,1265,443,Inter,46000,7800000,GK,2023,1,2012,-,Right,3,1,3,-,-,-,-,Medium,Medium,80,80,65,85,43,90,12,10,10,42,12,18,20,14,40,21,41,47,44,79,36,49,75,36,69,19,25,22,12,41,23,64,25,10,13,80,80,65,90,85,32,29,30,30,30,29,35,34,37,34,32,35,32,31,32,31,84
D. Mertens,Dries Mertens,84,84,18000000,"CF,ST,CAM",CF,Belgium,https://cdn.sofifa.net/players/175/943/23_60.png,35,169,61,1980,410,Galatasaray SK,86000,34200000,CF,2023,10,2022,-,Right,4,4,3,Belgium,https://cdn.sofifa.net/flags/be.png,SUB,14,High,Low,78,82,80,87,34,49,73,84,40,84,70,88,82,82,72,88,82,74,85,80,92,80,58,65,37,82,59,36,82,84,79,81,23,40,40,7,10,8,10,4,79,83,83,83,83,83,84,84,80,84,65,62,65,60,48,60,19
L. Suárez,Luis Suárez,84,84,18000000,ST,ST,Uruguay,https://cdn.sofifa.net/players/176/580/23_60.png,35,182,86,2231,439,Club Nacional de Football,1000,39600000,ST,2022,9,2022,-,Right,4,3,4,-,https://cdn.sofifa.net/flags/uy.png,-,-,High,Medium,70,86,78,78,46,81,75,87,84,78,88,76,85,81,73,81,73,68,70,86,77,86,69,71,84,84,87,39,90,80,82,86,41,45,38,27,25,31,33,37,84,80,82,82,82,80,83,81,79,81,66,67,66,63,63,63,40
D. Tadić,Dušan Tadić,84,84,26500000,"LW,CF,CAM",LW,Serbia,https://cdn.sofifa.net/players/199/434/23_60.png,33,181,76,2106,439,Ajax,32000,37100000,RW,2024,10,2018,-,Left,3,4,3,-,-,-,-,Medium,Medium,68,81,86,84,43,77,88,83,66,87,80,84,85,79,80,87,68,68,73,84,84,79,59,88,81,77,56,41,85,88,84,87,51,34,26,11,11,14,9,16,83,83,83,83,83,83,84,84,83,84,69,68,69,64,58,64,23
D. Berardi,Domenico Berardi,84,84,45000000,"RM,RW",RM,Italy,https://cdn.sofifa.net/players/210/935/23_60.png,27,183,72,2063,437,U.S. Sassuolo Calcio,57000,76500000,SUB,2027,10,2012,-,Left,3,4,2,Italy,https://cdn.sofifa.net/flags/it.png,SUB,11,Medium,Medium,82,81,81,86,36,71,77,82,62,85,78,85,78,75,79,88,82,82,92,84,87,83,65,74,64,80,85,26,82,83,76,78,42,30,30,5,6,5,5,6,82,84,83,83,83,84,84,84,80,84,64,64,64,60,53,60,16
